tweet,labels
 bitch even worst theyll send guy ,Offensive Language
 hoe like nigga spend money talk bout ,Offensive Language
 dont trust nigga bitch ,Offensive Language
 yall nigga b cuf hoe caus yall aint never bitch ,Offensive Language
 dodg bullet    da bitch cut pregnant bound thank god ,Offensive Language
 young pill chamberlain bitch love music ,Offensive Language
 teanna trump probabl cleaner twitter hoe,Offensive Language
 gay nigga couldnt wait act like bitch tonight,Offensive Language
 ima steal cat n replac pitbul  rt  theparadox bitch,Offensive Language
amp hes gone alway hoe,Offensive Language
son bitch took tic tacsi like movi,Offensive Language
wanna get money fuck model bitch  russel simmon,Offensive Language
 probabl  mind school much  deal bitch ass teacher retweet,Offensive Language
 im fuck fag said,Offensive Language
arizzleindacut femal think date pussi cute  stuff make pussi,Offensive Language
 simplyaddictedtoguy  woof woof hot scalli lad,No Hate and Offensive
adorebellaaa ya ever ask bitch bitch  kani voic yes,Offensive Language
adorezoey u gone bring ur side bitch game know ya gf friend   swear,Offensive Language
allaboutmanfeet  woof woof hot sole,No Hate and Offensive
allyhaaaaa lemmi eat oreo amp dish one oreo lol,No Hate and Offensive
almightywayn jetsandaswish gook bitch fuck u  mayb youll get better ,Offensive Language
almightywayn fuck red malon man bitch ass niggah could plea use complet sentenc,Offensive Language
 eggplant emoji doey say look like scream lmao,No Hate and Offensive
autoworid hennessey venom gt   one sexi bitch,Offensive Language
bossbytchh seh pussi wetter shower curtainahmesehwetnessltlmao,Offensive Language
 eaglesn everi eagl need see pic post bitch said racist shit,Offensive Language
bvsedchink yo fuck skateboard yall wood push faggot man ball life amjemiebenn,Offensive Language
babyanimalp babi monkey bathtim awwww soooo ador,No Hate and Offensive
baylaagottabodi  aint shit  damn skippi lol,Offensive Language
beeasyjrizzi u ever kill ant sidewalk think damn nigga way get pussyno bs must b ,Offensive Language
beenbasedb kudabrazyy   ring  mvps  bitch lol,Offensive Language
beenflynsolo ppl talk bad ghettohood  kid grow nigga funnnnnnn ,Offensive Language
bestproadv fact tattoostattoo  hes pussi tattoo nippl,Offensive Language
  rt nelayden bitch want act like nigga bad  shit aint cuteee nigga act like bitch,Offensive Language
 get worship bitch  woof woof,Offensive Language
blackchiquitita wow rt thatmanpalm im lost buttcheek pierc  yeah shes hoe,Offensive Language
blacknerdjad ok sis shed rather broke bitch shrug shell tell work,Offensive Language
 whalelookyh  queer gaywad,Hate Speech
brokenpiecesmsc itsnotadam faggot read tweet dat k wasnt even funni lol,Offensive Language
brosconfess bitch ungrat  fr  lulwhor,Offensive Language
cashandboobi kidnap yo bitch,Offensive Language
 whitethunduh alsarabsss hes beaner smh tell hes mexican,Hate Speech
ccobey aydanmccoy happi birthday nig thank yo,Offensive Language
chlldhoodruin ur teacher tell u u homework  bitch need go,Offensive Language
   nigga eat hoe lol hell yea lol john paul nigga said john paul ,Offensive Language
canifuckornah would yall lil ug bald head bitch stop make makeup amp weav,Offensive Language
 leaf better win damn game go riot shit earlychristma better start loot nig,Offensive Language
causewereguy go back school suck dick hoe attend,Offensive Language
causewereguy way fuck yo bitch   year old,Offensive Language
celeynichol whitethunduh come never bring food dont car retard,Offensive Language
chadmfverbeck richnow doesnt show hella tinder hoe im friend anymor chill brought like like  propl,Offensive Language
chandlerparson bout cowboy shutup pussi,Offensive Language
clicquotsuav lmaooooooooooo nigga krillznuhcar  ltbitch want like depress shitfoh,Offensive Language
coleyc lilaerii girl know spit g shit amp go lbvsbitch plz,Offensive Language
coleyc let make coupl tweet cuzzo page wont get twitter jaillmao bitch dont trick,Offensive Language
comedypost harlem shake excus go full retard  second,Offensive Language
comedytruth amen miley   dont need act like hoe bc shes emot damag foh,Offensive Language
corybandz one loyal femal wayyyyy better hoe  idc ,Offensive Language
crhedri pussi lick pussi meow meow   ,Offensive Language
dbabholloway check  man cowboysn even faggot ny fan stand,Offensive Language
dgotbrick happen vixen ent bitch got ran threw side like foothil bitch,Offensive Language
daedavidavi whitethunduh im bitch okay nude pat  wow,Offensive Language
devilgrimz vigxrart fuck gay blacklist hoe hold tehgodclan anyway ,Hate Speech
diamondloudkush fuck wrong bitch nobodi know,Offensive Language
 yall shut upp make bitch,Offensive Language
dionairish hate im pregnant type bitch,Offensive Language
doyouq got bitch dm dont ever readem top ,Offensive Language
domworldpeac baseb season win yank love start,No Hate and Offensive
dommoneek littl stupid bitch dont fuck yoooooouuuu,Offensive Language
dreadheadari realli ask dead ass serious tho could say bitch wheet lol,Offensive Language
dunderbail im ear bird im night owl im wise worm,No Hate and Offensive
edgarpixar overdo heavi drug doesnt sound bad tonight pussi shit everi day,No Hate and Offensive
 pit bull photograph love fairi tale creatur fairi tale creatur,No Hate and Offensive
ferociousghost  aw fag dont tweet aw lol,Offensive Language
 long laker trash could careless real cc benbal hahaha,No Hate and Offensive
frosstyy  didnt say anyth tho kiss faggot,Offensive Language
funnypicsdepot play soccer cheat girl wear khaki colour cargo haircut   yup,No Hate and Offensive
 could go fat ass bitch lap,Offensive Language
gedmel  miss call  yo po bitch twitter finna screamn freemoneymel,Offensive Language
gtmal ya side bitch gotta know rule shitanybodi ask cousin jersey thinkin bout move lmmfao ,Offensive Language
    amo los pie  fuck yeah,Offensive Language
girlthatsvont hoe think meat wont slap ass  ainna bruh,Offensive Language
girlthatsvont yall bitch wit edg talk ,Offensive Language
girlthatsvont yall still go trick treat year nahhel yeah ima da sweet tooth bandit steal bitch bag n shit,Offensive Language
girllssu wanna sex mom fuck right pussi came damn got hack like fuck,Offensive Language
 kiss u eye open watch bitchlmfao,Offensive Language
goofstroop woulda coulda shoulda ass hoe ,Offensive Language
gottiltf happi bday bitch ass nigga jetsandaswisherpreci bitch roll,Offensive Language
hbmostdop  pipinho use send bitch,Offensive Language
hbmostdop ug bitch like im wcw duh bitch aint nobodi ,Offensive Language
halotgmg  nigga know hacki sack hoe nah throw look pass lmao,Offensive Language
heartlessfuck glad im get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em,Offensive Language
hermosaalma isnt ghettoit smart  im idc,No Hate and Offensive
hiimjorib would wife hoe cuz wouldnt care cheat forc relationship first place,Offensive Language
hornyfact singl isnt excus hoe theonemissluu,Offensive Language
 white boy power bitch black power bitch,Offensive Language
 let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill,Offensive Language
iscoutgirl verballyabrupt bitch u around world back,Offensive Language
itsyahboiray anelylov dont get dick suck yo parti bad bitch im fr gone set  anelylov ,Offensive Language
itsyesi oomf soooo cute probabl hoe lot,Offensive Language
 everi cartoon alway  save hoe lmao  lmao damn captain saveaho,Offensive Language
jreebo want get nose bad boi scalli chav sockfetish stink  hot sox leg,No Hate and Offensive
jamesynba wish bitch like brother keezi  ooooow bet,Offensive Language
jasminepor dress cat halloween basic pussi,Offensive Language
jewelxo pornhub get game stream featur dumb bitch gtfo pornhub get ,Offensive Language
joebudden stop scare choke sex u bitch ass nigga  like say guy hit women bed foh,Offensive Language
 whitethunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig,Offensive Language
kazatta  oh man  molli ho fuck ya seed fix,Offensive Language
kelsiebelsi man refer everi girl bitch,Offensive Language
keyshawnswag lmfao cat start beat shit nigga final got pussi nigga,Offensive Language
keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash,No Hate and Offensive
kingcuh  io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha,Offensive Language
 vondreaam naw old tape new cover  upcom mixtap kingofthehil yeah im wait hoe mayn,Offensive Language
kingteej ol dirti foot ass bitch funni,Offensive Language
 whitethunduh get yellow flag amaz  hell yeah niggi,Offensive Language
kissmysmil dont got time bitch actin iffi,Offensive Language
knightfann ucfpinkparti come stay aliv knight nation still ear bird special comeatmeut,No Hate and Offensive
kyranadiya hoe aint loyal  aint smfh amp wonder nobodi decent want,Offensive Language
lcistj bruh stud keep think im soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe,Offensive Language
lodycash dri pussi bitch alway blame ,Offensive Language
lunarap shut yo bitch ass  ,Offensive Language
laflaregodjosh gucci mane jail drop mixtap everi month hoe cant even text back,Offensive Language
latrobemark love hoe money wat wrong nigga,Offensive Language
lebronvuitton loyal bitch burb without daddi issu like find holograph mewtwo sound like lol,Offensive Language
lilfridayho easi cum easi hoe fact ,Offensive Language
lifeasbro char sheen real  major fuck respect char sheen,Offensive Language
lightskingawdd wish bae  got hoe tho,Offensive Language
 fuck twerk bitch cook ,Offensive Language
linniekravitz wesgodlaflar bitch wtf ,Offensive Language
lipethegreat  lipethegreat shut zoe fight  zoe im good man good maam move along,Offensive Language
lolaaisdop lmao fuck snake bitch  em,Offensive Language
loveableaizah big booti hoe everywh sheesh  damn ,Offensive Language
mlbnetwork stay tune mlbnetwork updat report yank    week  bum,No Hate and Offensive
mrad  play soccer cheat girl wear khaki colour cargo haircut  yes ,No Hate and Offensive
madflyentist oregon choke everi year get field trash ass program rft,Offensive Language
mannydiesel def cowboy lol rt artoffloyd terrel owen best eagl amp cowboy ever dude cri like bitch tv romo,Offensive Language
markroundtreejr lmfaoooo hate black peopl  black peopl nigger,Hate Speech
  gabrielastarr could u bitch potent,Offensive Language
  piss lad past would lick dirti sole slept,No Hate and Offensive
  love frat boy w soft long sole,No Hate and Offensive
  sexi lad hot sole arch,No Hate and Offensive
megamindnick whitethunduh nah fam gotta cheat hoe depend femal feel,Offensive Language
meshanoja vontethekidd  got hick lol,No Hate and Offensive
migsmichelen new twitter confus shit go back south america bitch,Offensive Language
 toto mean ass vaginai think pussi caus toto santi like nasti pussi,Offensive Language
mikelahenri actual choo ug bitch  ass must fat,Offensive Language
mileycyrus bitch couldnt kill vibe ya tri  dis love miley ,Offensive Language
montrel im tire bitch say look mean  nigga big af wear tight shirt grim everybodi,Offensive Language
motherjon  bird grandkid may never see thank climat chang   climat,No Hate and Offensive
mvckfadden stay beauti bitch,Offensive Language
nickiminaj wutkindar purpl ceeeleeeman gurl jus playin stupid hoe  track still shit sum gurl,Offensive Language
nastycopp money get taller bitch get blurri,Offensive Language
newsomejad aint never seen bitch obsess  im obsess mine ,Offensive Language
 kobe stay talk trash let forget   meant one smh,Offensive Language
nochillpaz least im nigger lmfao,Hate Speech
nofakingg peopl alway ask im mix bad asian bitch lol,Offensive Language
 whiteponyjr ariza snake coward least isnt crippl like hero roach lmaoo,Hate Speech
osayitaintso  foster home imaginari  whoa chillthat show everyth tf,No Hate and Offensive
officialreplay lowkey tire tire quiet go sleep hoe,Offensive Language
prayingforhead  stop bring weird nigger mention  ,Offensive Language
prettybossbrat dont love hoe ,Offensive Language
patrickquelo yo girl cant homeboy ol weak bitch ass nigga,Offensive Language
  think worst advic gave  dont pussi speed lol,Offensive Language
poemsporn quot tweet favorit animalpussi,Offensive Language
poeticsuccess hate stripper tell theyr dancer hoe ballet dancer dont pop pussi beethoven stripper,Offensive Language
poffalici andrewbri poff doubl vision  beerspoff  doubl pussi  smh,Offensive Language
poobi bitch twerk computerm ya  ya damn ,Offensive Language
prodsjewel   peacepunkprinc princ art  nobodi takin bitch,Offensive Language
  welfaregovern aid claim white peopl yall black slander trash,No Hate and Offensive
 bitch dont care play role,Offensive Language
queenkaaat took find hide lime treeiemonaid dis bitch da wrong tree bro,Offensive Language
rtnba drake new shoe relea nikejordan yes glitter shoe  dude fag,Hate Speech
rachiesoul dizzleoffici inna di ghetto alon lmaoo,No Hate and Offensive
ramboutit   ramboutit hoe  teach us austini teach u get curv know,No Hate and Offensive
reachtheeclimax bitch cant cook know suck dick  one,Offensive Language
renegademo fat hoe get chose lol,Offensive Language
riahsm hoesaintloy well theyr hoesno one expect loyal,Offensive Language
rishaawilliam treshonscroog nevertrustt ol bitch ass ,Offensive Language
rnadjorel bruh im tire nigga retweetin miley cyrus nake bitch aint type bad lmaooo,Offensive Language
sactownprodigi toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck,Offensive Language
samjlayman  holi shit freddi highmor char chocol factorym roll floor laugh,Offensive Language
samirahus dont want sex gf feel like im use  anonym whata faggot,Offensive Language
sexualgxf  one follow    somebodi bitch dont,Offensive Language
shaajenkin ya bitch alway bitch clear care annoy bitch,Offensive Language
shantaughth catfish hoe thinkin slick nigga catch ,Offensive Language
shewenttojordan cant worri bitch aint worri bout real,Offensive Language
showarr side hoe insecur nigga cant handl real one,Offensive Language
shunstok   lmao bitch come scoot tent like fuck shit ,Offensive Language
shunstok cousin said share hoe brother said share care love brother ,Offensive Language
slimgirlprobz im hungri ionn wanna spend money  hoe problem ,Offensive Language
smeegbabi dese hoe lyin us nigga,Offensive Language
snakecharmsdump  oh yeah fuck bitch,Offensive Language
sportscent eli man threw nfllead  intercept season lmao trash,No Hate and Offensive
sportscent usc senior rb anthoni brown call head coach steve sarkisian racist quit team   hes bitch,No Hate and Offensive
stellatex guess also zero time mansplain adio stfu pussi,Offensive Language
stephenwildboy chill   sexi scalli lad,No Hate and Offensive
strap aint share bitch mine mine ,Offensive Language
sukmysweet money impress simpl broke bitch,Offensive Language
sylvieamx pisc never anybodi bitch dont let peopl control chang rigghhht,Offensive Language
teejonez  kingcuh tuku ho idk blah blah blah ,No Hate and Offensive
teejonez kingcuh  im mad cuh hahaha suur tuku ho ita ,No Hate and Offensive
tayknosbest hoe crazi,Offensive Language
taylorrbab aint ever gonna slice bitch kevin hart ,Offensive Language
thatniggatroy oomf fuckin fine tho  dam  dont bitch,Offensive Language
thegamerkingkev wonder girl gave head  boy drink magaluf twitter probli send nude fag,Offensive Language
thenewsat newsatquestionsyeah bitch yeah bitch call maybeb steveoc laterd jess pinkmanmachinegunkelli,Offensive Language
thenymphotweet hicki thigh right pussi gtgtgt right,Offensive Language
theonemissluu would still love im longer young beauti ug monkey ass,Offensive Language
 jetsandaswish gook yall come frontbitch aint come,Offensive Language
 jetsandaswish faggot bitch ,Offensive Language
therealistsam  yea im ipad dont work friday let ball faggot tropicalblanketi work ,Offensive Language
  scalli lad would get,No Hate and Offensive
theomaxximus gerryshalloweenparti  halloween yesterday stupid nigger,Hate Speech
theomaxximus chrus still supahot tho walk teacher test drop test bitch fohead ,Offensive Language
  love eat pussi lol never get full  eat shit forev lol ever,Offensive Language
tmaccgfg  tmaccgfg  slush  nasti anyway  hoe tast like ,Offensive Language
tmaccgfg  slush  nasti anyway ,Offensive Language
tmaccgfg bobbi bitchbi  get live fuck hell yea play hoe workout,Offensive Language
trelekidd yo bitch gucci mane rt jabarithegreat  bitch stoner  ,Offensive Language
tweetgamelazi ride bitch handl bar,Offensive Language
tyjoncuff aint hoe get traphoussseee,Offensive Language
uberfact  sad tv charact death still bitter   stark man,No Hate and Offensive
unholyjack harbor bitch parti bus hoe lol,Offensive Language
  pussi love,Offensive Language
veronikahumbert ultraviol video come littl bitch mtvhottest lana del rey  bitchi promo,Offensive Language
vineforthebyrd way fuck bitch lmfao kittycopt,Offensive Language
wbur smuggler explain help fighter along jihadi highway ,No Hate and Offensive
wbeezi quathegreat aww avi look cute togeth    gotta get ike avi bitch ,Offensive Language
wbeezi rundrc simpl dont hoedont worri expo  fight mewhi ,Offensive Language
wannabekani whys bitch boost size isnt exact healthi tho,Offensive Language
withaprettyfac  bet bitch   kim bye,Offensive Language
xxpdotjdot damn near gotta protect tweet stalker annoy got dope dick drive bitch loco,Offensive Language
xojennygirl im make marack girlfriend  marackaf aye b pullin hoe like taught,Offensive Language
xoxoangi bruno fag boy love,Offensive Language
yehitsvon  must   sike naw alway beef ,Offensive Language
yank  yank look ralli bottom  rallycap,No Hate and Offensive
youngricooo  dont take advantag nice  hoe everyjuan,Offensive Language
youngricooo happi birthday bitch nigga  thank pal,Offensive Language
youngricooo sad know hoe wont fuck bc aint got stack wait till friday,Offensive Language
yungmigo  cinco shit harder fucc niggay fucc wit rich homi cuz dat ya homeboy fucc nicca,Offensive Language
  ewww said last sundaya last sunday read ,Offensive Language
badab punch real nigga face caus pussi nigga gonna punch right back strong mush shake,Offensive Language
beedontcar pussi still fresh lt someth stank girl say,Offensive Language
geewillik ass slap one greatest thing haha  slap girl ass  got mad aint get pussi week,Offensive Language
tommycollin wearerichnow buffalobil yeah texan much better fuck retard see mad,Offensive Language
malibubarbi nd wtf dark bitch blond plea sever seat hoe look like blackampmild,Offensive Language
sugga lane bitch need stay  left n get right fuck outta face ,Offensive Language
sneakyb hate boy deni bitch  smh,Offensive Language
taradi ya nig still say yall dont eat butt straight face,Offensive Language
yourewelcom im boss ass bitch need sit corner,Offensive Language
iwantfranni hes hoe  cant,Offensive Language
 paul thinkin bout gettin rental da weekend  shit bitch betta stay da street,Offensive Language
rapdream bitch hold nigga get lock nigga go colleg militari differ stori ,Offensive Language
simplycaitlin friend hate ratchet hoe,Offensive Language
adriwadrri love fuck nigga hoe,Offensive Language
 hot meat  sexi fuck scalli lad would love meet trainer,Offensive Language
 sniff  perv scalli lad fuck yeah,Offensive Language
 bitch love sosa,Offensive Language
alexissixela  legit watch   second  wtf prob caus retard smh,Offensive Language
allisonnamaya name cat idea mr pussi,Offensive Language
  woof woof sexi thug boy scalli,Offensive Language
ambitiousbr  u see damn phone ring  marri bitch make demand havent call,Offensive Language
analicialoui tevin favorit sophomor think hes funni hes realli lmaoo hes littl hoe,Offensive Language
angelenagoley  sex posit   u call fuck soul outta bitch ,Offensive Language
ashlingwild itsnotadam bore suppo cute faggot sometim,Hate Speech
ayyeece one man trash  anoth man treasur ,No Hate and Offensive
babineaux dont got type bad bitch thing like iongotnotyp,Offensive Language
bigbootybishopp whitethunduh lassen cc  coach want feel youll get nig doubt,Hate Speech
bleedingtrap god teeth  gold chainwhit bitch  cocain,Offensive Language
cheetahbluntz hoe  shhhhh,Offensive Language
chieflottaho dc call roller chiraq call thot across america known hoe,Offensive Language
 im gonna miss bitch bus driverno wont dont lie,Offensive Language
 hate bitch tri put friendzon bitch im tryin score put endzon  soul,Offensive Language
complexuk ashley young tri deni bird land mouth gt   hahaha,No Hate and Offensive
datfullerkid trevaughnlg yall gimp aint tht bitch huh lol,Offensive Language
deepthroatmik boyssouth take ride   woof woof,No Hate and Offensive
demieggleton oh god love victoria mitchel bitch love,Offensive Language
djsliim long distanc shit wack knew bitch cheat uh oh,Offensive Language
fiirt hes right   bitch smh,Offensive Language
 ban dat pussi life amp gotta pay  millon dollar fine,Offensive Language
fuckcamoclark rose red violet blue nigger black know true ,Offensive Language
 sit window sill window open bird tri fli smack protecttheanim peta,No Hate and Offensive
glowstruck nigga gon nigga nigga sound fuckin retard,Offensive Language
greggutfeld video entir media like mock  crybabi,No Hate and Offensive
gurlimangi itskiaraaaa westyourmajesti im even shi stfu kiki mom hi angeliqu angeliqu smile dip cracker soup,Offensive Language
haitiangold tim tebow got cut everi team nfl alreadi got hoe starkvil smh ,Offensive Language
hazelebabi karma bitch damn godprotectshisangel  tea,Offensive Language
hornyjhb fuckin hot gym pussi  fuck yeah,Offensive Language
hxhassan jihadi patron hajjaj alajmi arrest kuwait airport ,No Hate and Offensive
iampickuplin call fireman caus turn hoe,Offensive Language
icrawley could never bbi lil dick thts got abort last bitch oh god,Offensive Language
idntwearcondom watch women tri argu like dick actual fuck pussi hate bitch,Offensive Language
ilgdaili smoke weed public fuck cop man wanna dont run come retard,Offensive Language
itrapwatermelon tweeti bird tho ,No Hate and Offensive
irlfatti pussi sweet like watermelon thotermelon,Offensive Language
itscoleharmon twitter rapper dm trash link ,No Hate and Offensive
jsadass loud bitch annoy,Offensive Language
jacaxeltlu eventu everi bitch turn hoe  truuu,Offensive Language
jaimescudi tonybthrz jaimescudi swear oomf tri talk tomorrow  barackobama pussi,Offensive Language
jamajam bitch pretend tf crazi aint never lie,Offensive Language
jasmyncyniqu whitethunduh k bye hoe um bye ,Offensive Language
jayswaggkillah jacki retard blondeproblem least make grill chee,Hate Speech
 ima keep give pussi ass nigga ah reason hate ,Offensive Language
jethromass photo  sole heaven,No Hate and Offensive
jgabsss stacey dash   baddest bitch evaaaa,Hate Speech
juicyyyjayyyi side bitch sunday  ,Offensive Language
 fact baldhead bitch made shit  lmao ,Offensive Language
kayrenee fuck wit us tweakin hoe shmurda,Offensive Language
kazooook actin like  day wesgodlaflar ,No Hate and Offensive
kikistfu ill break lil bitch neck wont even feel sorri savag,Offensive Language
leikant fuck hot scalli sneakersex sockfetish sniff trainersex  love kinki scalli,Offensive Language
likemicah yall dumb ass nigga press hoe yall weak fuck fuck weed hoe oreo,Offensive Language
lildurk turn yo bitch eaterrrrrrrrr,Offensive Language
lildurk dont trust dese hoe nikki told  stay fan screen shot asap finna come chiraq shoot sumn,Offensive Language
marackaf  aye yall ima tryout bowl team  tryout pass tho two retard,Offensive Language
 u got u want bitch  enjoy  crazi parti would love attend,Offensive Language
metroadlib color contact eyesblind minecaus cant see lmao,No Hate and Offensive
michellewestt fact poonsoak dude hoe say dont got  ,Offensive Language
midywidey im rea start smack bitch period  bluffin best,Offensive Language
molssyo life bitch die get high caus neva know gonna go sister perfect ,Offensive Language
molssyo one us drug still wrong  currieburri hahahahahahah im bitch sometim ,Offensive Language
morgandayl im feel pretti fuckin ghetto smh,Offensive Language
   dejaaleeann  swear im  man easili easili behind austin nip,No Hate and Offensive
obeyjrock true ride die bitch   fuck hahahahah,Offensive Language
oldpicsarch hgwell char chaplin  histori photographi,No Hate and Offensive
ortizjaylen see bruno bitch ass twitter wtf bruno see drake voic,Offensive Language
ozziegarza whitethunduh im cool faggot chill tf cool nigga,Offensive Language
ozziegarza whitethunduh im sure bitch frfr tf,Offensive Language
poppunksuck twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet,Offensive Language
queendulaaa got coupl bitch say know  let money talk  im like wwyd,Offensive Language
realfort grudg weirdosand bitch,Offensive Language
rhythmixx told mariam cigarett birthdayyou also call trash rn,No Hate and Offensive
riananewman  browni tonight kind,No Hate and Offensive
 text back dont give fuck ill text anoth bitch damn someon hurt lol,Offensive Language
ronaldiongi ummmmmm okay  got hoe left right  yah thang,Offensive Language
royalswagg use ymxb find slope ass,Offensive Language
rugbysocklad fit lad nice gear  scalli lad n trainer would get,No Hate and Offensive
rugbysocklad hell yeah bro  fuck yeah sexi scalli lad hot gear,Offensive Language
rugbysocklad help mate  love scalli play fuck yeah,Offensive Language
rugbysocklad lad lad  fuck yeah love scalli lad action hot trainer,Offensive Language
savagetwoton next year bitch gonna like gotta promi wont expo ,Offensive Language
scallynikelad  hot rt opcinjen lick bitch  fuck yeah eat trainer u dirti fucker,Offensive Language
sierrabernia  yall think celebr pussi differ local  yeah meghan good,Offensive Language
sleepyyongguk saw ajumma walk begin say wow trash cant even listen  lmaoo,No Hate and Offensive
sniffsockslad need sox  fuck yeah love kinki scalli lad w rank sox sneak,Offensive Language
 dont ever expo femal like childish bitch nigga shiiii,Offensive Language
socass  socass yassstri new thing bestfriendbitch love,Offensive Language
socass dude rememb wop video   omg find,No Hate and Offensive
soxandjox thick raw fuck  damn man pussi get workout,Offensive Language
soxdawg rawr rt skinrubberboi sexi french scalli love frenchscal  sexi scalli woof woof,No Hate and Offensive
splurgb nothin life free bitch need write ya ,Offensive Language
stephencdo currieburri one bitch want burrito u catch potosino huh haha,Offensive Language
talibanshawtyy nigga whole hoe cuz couldnt said ,Offensive Language
theaveragerock hardcor way eat mac  boil water  snort chee  drink boil water  fuck bitch,Offensive Language
thebravebird yourenotmytyp fade perpetu fresher real ass bitch rite,Offensive Language
thejudyann annoy bitch love  judyann pretti,Offensive Language
thotmouth lmao bitch got huggi,Offensive Language
trestiff hi bitch bitchbi bitch ,Offensive Language
trutherbot look like bitch elcapacitor,Offensive Language
whoiscoreyk chase money   hoe  ,Offensive Language
whooligan cant stand dont know want ass nigga  bitch,Offensive Language
wiganzlad markycrumb gmailshort im way  love chavhot sexi scalli fucker,Offensive Language
witmyrudeass newli gay bitch dont kno shit work,Offensive Language
witmyrudeass bitch dont want real job becom stripper lol lol,Offensive Language
 awww meat meat feelinsi ainn n feel bitch,Offensive Language
 want snake bite  industri piercin amp tattoodem hoe accessori dea ,Offensive Language
worldtravei babi albino   ,No Hate and Offensive
worldwarz hoe aint loyal,Offensive Language
xoxoclauudia yassssss order chine  bitch ate taco fat fuck,Offensive Language
 made bitch lunch elizabethbatman bitch love lunch,Offensive Language
brainerbut soon bitch get rich polit power view changepolit whore ,Offensive Language
pussi day keep devil away doperthanyola,Offensive Language
aint bitch mean,Offensive Language
bitch want babi dont want children,Offensive Language
bitch must lost ,Offensive Language
babi like left side bitch cant cuz street side twitter said aint real,Offensive Language
bae sound like ghetto word use someth el,No Hate and Offensive
batter wee cunt jewi cos fuck ex emma isnt batter girl ive nail move onstop pussi n urself,Offensive Language
bleed hoe alexa,Offensive Language
boolin bando wit bitch,Offensive Language
browni browni love movi ,No Hate and Offensive
need bad bitch hotter might realist shit partynextdoor ever said feelin everyday,Offensive Language
way punch bitch,Offensive Language
caesar home rt naewoodst   much bitch look like let start ape ,Offensive Language
chine maverick communic comrad  u know give imperialist yank birdi ,No Hate and Offensive
dad say hi snapchat dad  duce bitch ,Offensive Language
believ hoe fact loyal disagr believ fact loyalest bunchth hoe,Offensive Language
dont know ug bitch dont know broke niggaskev,Offensive Language
dont make make fall live nigga like meee bird  favorit song weeknd,Offensive Language
dont worri nigga see worri nigga dont see dat da nigga fuckin yo bitch,Hate Speech
dont ever give pussi away keep tight alright,Offensive Language
drop stack caus bitch im  song call dopedownload mixtap ,Offensive Language
dumb bitch dumb thing,Offensive Language
eat pussi like real nigga hungri,Offensive Language
eff let go crippl ,Offensive Language
